f_Hz,mag_Zt_dBohm,phase_Zt_deg,case_label,vendor_model,Rf_ohm,Cpd_F,Cf_F,A0,ft_Hz
10.0,79.9999962789216,179.999805951601,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
10.115794542599,79.9999962789243,179.999803704627,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
10.2329299228075,79.999996278927,179.999801431633,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
10.3514216667934,79.9999962789298,179.99979913232,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
10.471285480509,79.9999962789327,179.999796806382,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
10.5925372517729,79.9999962789357,179.999794453511,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
10.7151930523761,79.9999962789387,179.999792073394,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
10.839269140212,79.9999962789418,179.999789665718,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
10.9647819614319,79.999996278945,179.999787230162,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
11.091748152624,79.9999962789482,179.999784766403,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
11.2201845430196,79.9999962789515,179.999782274115,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
11.3501081567232,79.9999962789549,179.999779752968,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
11.4815362149688,79.9999962789584,179.999777202628,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
11.6144861384034,79.9999962789619,179.999774622756,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
11.7489755493953,79.9999962789656,179.999772013011,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
11.8850222743702,79.9999962789693,179.999769373046,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
12.0226443461741,79.9999962789731,179.999766702511,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
12.1618600064637,79.999996278977,179.999764001054,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
12.3026877081238,79.999996278981,179.999761268315,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
12.4451461177139,79.9999962789851,179.999758503932,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
12.5892541179417,79.9999962789892,179.999755707539,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
12.7350308101666,79.9999962789935,179.999752878766,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
12.8824955169314,79.9999962789979,179.999750017237,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
13.031667784523,79.9999962790023,179.999747122573,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
13.1825673855641,79.9999962790069,179.999744194391,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
13.3352143216333,79.9999962790116,179.999741232301,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
13.4896288259166,79.9999962790164,179.999738235912,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
13.6458313658893,79.9999962790213,179.999735204827,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
13.8038426460289,79.9999962790263,179.999732138644,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
13.9636836105594,79.9999962790314,179.999729036955,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
14.1253754462276,79.9999962790367,179.999725899351,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
14.2889395851111,79.9999962790421,179.999722725415,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
14.4543977074593,79.9999962790476,179.999719514727,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
14.6217717445672,79.9999962790532,179.99971626686,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
14.7910838816821,79.9999962790589,179.999712981385,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
14.9623565609444,79.9999962790648,179.999709657867,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
15.1356124843621,79.9999962790709,179.999706295863,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
15.3108746168203,79.9999962790771,179.999702894929,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
