f_Hz,mag_Zt_dBohm,phase_Zt_deg,case_label,vendor_model,Rf_ohm,Cpd_F,Cf_F,A0,ft_Hz
10.0,79.9999962787706,179.999570331601,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
10.115794542599,79.9999962787698,179.999565356275,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
10.2329299228075,79.9999962787689,179.999560323338,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
10.3514216667934,79.9999962787681,179.999555232123,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
10.471285480509,79.9999962787672,179.999550081953,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
10.5925372517729,79.9999962787663,179.999544872148,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
10.7151930523761,79.9999962787654,179.999539602016,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
10.839269140212,79.9999962787644,179.999534270858,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
10.9647819614319,79.9999962787635,179.999528877969,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
11.091748152624,79.9999962787625,179.999523422633,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
11.2201845430196,79.9999962787615,179.999517904127,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
11.3501081567232,79.9999962787604,179.99951232172,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
11.4815362149688,79.9999962787594,179.999506674672,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
11.6144861384034,79.9999962787583,179.999500962234,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
11.7489755493953,79.9999962787572,179.999495183649,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
11.8850222743702,79.9999962787561,179.999489338151,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
12.0226443461741,79.9999962787549,179.999483424965,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
12.1618600064637,79.9999962787537,179.999477443308,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
12.3026877081238,79.9999962787525,179.999471392387,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
12.4451461177139,79.9999962787512,179.999465271399,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
12.5892541179417,79.99999627875,179.999459079534,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
12.7350308101666,79.9999962787487,179.99945281597,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
12.8824955169314,79.9999962787473,179.999446479878,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
13.031667784523,79.999996278746,179.999440070417,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
13.1825673855641,79.9999962787446,179.999433586738,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
13.3352143216333,79.9999962787431,179.999427027981,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
13.4896288259166,79.9999962787417,179.999420393278,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
13.6458313658893,79.9999962787402,179.999413681748,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
13.8038426460289,79.9999962787386,179.999406892503,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
13.9636836105594,79.9999962787371,179.999400024642,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
14.1253754462276,79.9999962787355,179.999393077255,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
14.2889395851111,79.9999962787338,179.99938604942,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
14.4543977074593,79.9999962787322,179.999378940208,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
14.6217717445672,79.9999962787304,179.999371748674,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
14.7910838816821,79.9999962787287,179.999364473867,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
14.9623565609444,79.9999962787269,179.999357114821,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
15.1356124843621,79.9999962787251,179.999349670562,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
15.3108746168203,79.9999962787232,179.999342140102,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
15.4881661891249,79.9999962787213,179.999334522443,OP27_Cf10p_SafeCandidate,OP27,10000,1e-11,1e-11,100000,1603718.74375133
