f_Hz,mag_Zt_dBohm,phase_Zt_deg,case_label,vendor_model,Rf_ohm,Cpd_F,Cf_F,A0,ft_Hz
10.0,79.9999962781123,179.999138331601,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
10.115794542599,79.9999962780961,179.999128353951,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
10.2329299228075,79.9999962780796,179.999118260765,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
10.3514216667934,79.9999962780627,179.999108050706,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
10.471285480509,79.9999962780454,179.99909772242,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
10.5925372517729,79.9999962780277,179.999087274538,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
10.7151930523761,79.9999962780095,179.999076705676,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
10.839269140212,79.999996277991,179.999066014431,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
10.9647819614319,79.999996277972,179.999055199388,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
11.091748152624,79.9999962779526,179.999044259113,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
11.2201845430196,79.9999962779327,179.999033192155,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
11.3501081567232,79.9999962779124,179.999021997047,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
11.4815362149688,79.9999962778915,179.999010672307,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
11.6144861384034,79.9999962778702,179.998999216432,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
11.7489755493953,79.9999962778485,179.998987627905,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
11.8850222743702,79.9999962778262,179.998975905188,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
12.0226443461741,79.9999962778033,179.998964046729,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
12.1618600064637,79.99999627778,179.998952050956,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
12.3026877081238,79.9999962777561,179.998939916278,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
12.4451461177139,79.9999962777316,179.998927641087,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
12.5892541179417,79.9999962777066,179.998915223756,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
12.7350308101666,79.999996277681,179.998902662639,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
12.8824955169314,79.9999962776548,179.998889956071,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
13.031667784523,79.999996277628,179.998877102368,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
13.1825673855641,79.9999962776005,179.998864099827,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
13.3352143216333,79.9999962775725,179.998850946722,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
13.4896288259166,79.9999962775437,179.998837641313,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
13.6458313658893,79.9999962775143,179.998824181833,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
13.8038426460289,79.9999962774843,179.998810566501,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
13.9636836105594,79.9999962774535,179.99879679351,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
14.1253754462276,79.999996277422,179.998782861035,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
