Rf_ohm,Cpd_F,Cf_F,A0,ft_Hz,fc_ideal_Hz,capacitive_noise_gain,gbw_margin_index,Rf_eff_ohm,gain_error_pct,bandwidth_Hz,bandwidth_ratio,peaking_dB,peaking_frequency_Hz,phase_at_bandwidth_deg,valid_bandwidth,classification,classification_code,selection_reason
10000,1e-11,3.45510729459222e-12,100000,1603718.74375133,4606367.60372095,3.89426612471675,0.0894013311091607,9999.90000125564,-0.000999987443610735,1619246.93526441,0.351523602666103,0.499510867851581,781095.008781584,-105.675077633933,1,Safe,1,Representative safe behavioural case for later SPICE macromodel comparison.
10000,1e-12,2.28546386413499e-13,100000,43754793.7507418,69637917.0939693,5.37547937507418,0.11688604622528,9999.90000100157,-0.000999989984338754,31741765.7305107,0.455811532784337,1.99970494440388,18637440.3333045,-123.348671357139,1,Marginal,2,Representative marginal behavioural case for later SPICE macromodel comparison.
10000,5e-12,5.22334507426683e-13,100000,70170382.8670384,30469926.996779,10.5724098808498,0.217825360042098,9999.90000100563,-0.000999989943666151,20319766.971503,0.666879411087891,3.99818218039864,12676643.932858,-137.431435979048,1,Risky,3,Representative risky behavioural case for later SPICE macromodel comparison.
