f_Hz,mag_Zt_ideal_ohm,phase_Zt_ideal_deg,mag_Zt_nonideal_ohm,phase_Zt_nonideal_deg,mag_G_nonideal_ohm,phase_G_nonideal_deg
10,99999.9999980261,179.99964,99999.0000081511,179.999634263279,99999.0000081511,-0.000365736720579847
10.0809567353382,99999.999997994,179.999637085558,99999.000008121,179.999631302394,99999.000008121,-0.000368697605668925
10.162568869976,99999.9999979614,179.999634147521,99999.0000080905,179.999628317539,99999.0000080905,-0.000371682461116994
10.2448417098122,99999.9999979282,179.999631185698,99999.0000080594,179.999625308519,99999.0000080594,-0.000374691480980399
10.3277806037004,99999.9999978945,179.999628199898,99999.0000080279,179.999622275139,99999.0000080279,-0.000377724860886293
10.4113909437969,99999.9999978603,179.999625189926,99999.0000079958,179.999619217202,99999.0000079958,-0.000380782798045533
10.4956781659108,99999.9999978255,179.999622155586,99999.0000079632,179.999616134509,99999.0000079632,-0.000383865491265767
10.580647749858,99999.9999977902,179.999619096681,99999.0000079302,179.999613026859,99999.0000079302,-0.000386973140963624
10.6663052198171,99999.9999977543,179.999616013012,99999.0000078965,179.999609894051,99999.0000078965,-0.000390105949179366
10.7526561446888,99999.9999977178,179.999612904379,99999.0000078623,179.99960673588,99999.0000078623,-0.000393264119587178
10.8397061384575,99999.9999976806,179.999609770579,99999.0000078275,179.999603552143,99999.0000078275,-0.000396447857511976
10.927460860557,99999.9999976429,179.999606611409,99999.0000077922,179.99960034263,99999.0000077922,-0.00039965736993957
11.0159260162376,99999.9999976046,179.999603426663,99999.0000077563,179.999597107134,99999.0000077563,-0.000402892865531905
11.1051073569377,99999.9999975657,179.999600216135,99999.0000077199,179.999593845445,99999.0000077199,-0.000406154554640216
11.1950106806574,99999.9999975261,179.999596979616,99999.0000076828,179.999590557351,99999.0000076828,-0.000409442649318585
11.2856418323356,99999.9999974859,179.999593716894,99999.0000076451,179.999587242637,99999.0000076451,-0.000412757363338262
11.3770067042298,99999.999997445,179.999590427759,99999.0000076068,179.999583901088,99999.0000076068,-0.00041609891220057
11.4691112362992,99999.9999974035,179.999587111996,99999.0000075679,179.999580532487,99999.0000075679,-0.000419467513151493
11.5619614165913,99999.9999973613,179.999583769389,99999.0000075284,179.999577136615,99999.0000075284,-0.000422863385195743
11.6555632816306,99999.9999973184,179.999580399722,99999.0000074882,179.999573713251,99999.0000074882,-0.00042628674911162
11.7499229168114,99999.9999972748,179.999577002775,99999.0000074474,179.999570262173,99999.0000074474,-0.000429737827464162
11.8450464567934,99999.9999972305,179.999573578328,99999.0000074059,179.999566783155,99999.0000074059,-0.000433216844620261
11.9409400859005,99999.9999971855,179.999570126157,99999.0000073637,179.999563275973,99999.0000073637,-0.000436724026763514
12.0376100385228,99999.9999971397,179.999566646039,99999.0000073209,179.999559740398,99999.0000073209,-0.000440259601908423
12.135062599522,99999.9999970932,179.999563137746,99999.0000072773,179.9995561762,99999.0000072773,-0.000443823799915639
12.2333041046402,99999.999997046,179.999559601052,99999.0000072331,179.999552583148,99999.0000072331,-0.000447416852506031
12.3323409409112,99999.9999969979,179.999556035726,99999.0000071881,179.999548961007,99999.0000071881,-0.000451038993277361
12.4321795470765,99999.9999969491,179.999552441536,99999.0000071424,179.999545309542,99999.0000071424,-0.000454690457717834
12.5328264140034,99999.9999968995,179.999548818249,99999.0000070959,179.999541628517,99999.0000070959,-0.000458371483222252
12.6342880851072,99999.9999968491,179.999545165629,99999.0000070487,179.999537917691,99999.0000070487,-0.000462082309107649
12.7365711567764,99999.9999967979,179.999541483438,99999.0000070007,179.999534176823,99999.0000070007,-0.000465823176627618
12.8396822788018,99999.9999967458,179.999537771438,99999.000006952,179.999530405671,99999.000006952,-0.000469594328990033
12.9436281548089,99999.9999966929,179.999534029386,99999.0000069024,179.999526603989,99999.0000069024,-0.000473396011370725
13.0484155426933,99999.9999966392,179.99953025704,99999.0000068521,179.999522771529,99999.0000068521,-0.000477228470930813
13.1540512550606,99999.9999965845,179.999526454155,99999.0000068009,179.999518908043,99999.0000068009,-0.000481091956832333
13.2605421596686,99999.999996529,179.999522620482,99999.0000067489,179.99951501328,99999.0000067489,-0.000484986720254395
