f_Hz,matlab_mag_dBohm,spice_mag_dBohm,mag_error_dB,matlab_phase_deg,spice_phase_deg,phase_error_deg
10,79.9999131416889,79.9999962789216,8.31372327212421e-05,-0.000481648281106039,-0.000194048398994792,0.000287599882111247
10.115794542599,79.9999131416924,79.9999962789243,8.31372319112234e-05,-0.000487225505345509,-0.000196295372992159,0.000290930132353349
10.2329299228075,79.999913141696,79.999996278927,8.31372310017287e-05,-0.000492867310807428,-0.000198568367005598,0.00029429894380183
10.3514216667934,79.9999131416997,79.9999962789298,8.31372301206557e-05,-0.000498574445286965,-0.000200867680032692,0.000297706765254273
10.471285480509,79.9999131417034,79.9999962789327,8.31372292537935e-05,-0.000504347665270952,-0.000203193617991913,0.000301154047279039
10.5925372517729,79.9999131417073,79.9999962789357,8.31372284011422e-05,-0.000510187735988048,-0.000205546489015399,0.000304641246972649
10.7151930523761,79.9999131417112,79.9999962789387,8.3137227449015e-05,-0.000516095431546446,-0.000207926606018842,0.000308168825527604
10.839269140212,79.9999131417153,79.9999962789418,8.31372265110986e-05,-0.000522071534988217,-0.000210334281994267,0.00031173725299395
10.9647819614319,79.9999131417194,79.999996278945,8.3137225587393e-05,-0.000528116838452039,-0.00021276983797414,0.000315347000477899
11.091748152624,79.9999131417236,79.9999962789482,8.31372245642115e-05,-0.000534232143223385,-0.000215233597001041,0.000318998546222344
11.2201845430196,79.999913141728,79.9999962789515,8.31372235268191e-05,-0.000540418259888923,-0.000217725885018212,0.000322692374870711
11.3501081567232,79.9999131417324,79.9999962789549,8.31372224894267e-05,-0.000546676008415894,-0.000220247031989119,0.000326428976426776
11.4815362149688,79.9999131417369,79.9999962789584,8.3137221480456e-05,-0.000553006218243998,-0.000222797371999224,0.000330208846244773
11.6144861384034,79.9999131417416,79.9999962789619,8.31372203435876e-05,-0.000559409728456491,-0.000225377243993881,0.00033403248446261
11.7489755493953,79.9999131417463,79.9999962789656,8.31372192919844e-05,-0.000565887387826231,-0.000227986988979439,0.000337900398846793
11.8850222743702,79.9999131417512,79.9999962789693,8.31372181409051e-05,-0.000572440054953438,-0.00023062695399258,0.000341813100960858
12.0226443461741,79.9999131417561,79.9999962789731,8.31372169614042e-05,-0.000579068598378449,-0.000233297488996098,0.00034577110938235
12.1618600064637,79.9999131417612,79.999996278977,8.31372157819033e-05,-0.000585773896731999,-0.000235998946013785,0.000349774950718214
12.3026877081238,79.9999131417664,79.999996278981,8.31372145881915e-05,-0.000592556838768788,-0.000238731685008096,0.000353825153760691
12.4451461177139,79.9999131417717,79.9999962789851,8.31372133518471e-05,-0.000599418323584476,-0.000241496068027934,0.000357922255556542
12.5892541179417,79.9999131417772,79.9999962789892,8.31372120160268e-05,-0.00060635926064926,-0.000244292461015196,0.000362066799634064
12.7350308101666,79.9999131417828,79.9999962789935,8.31372107512607e-05,-0.000613380569970695,-0.000247121234008338,0.000366259335962357
12.8824955169314,79.9999131417885,79.9999962789979,8.3137209443862e-05,-0.000620483182227338,-0.000249982762999811,0.000370500419227528
13.031667784523,79.9999131417943,79.9999962790023,8.31372080085657e-05,-0.000627668038856546,-0.000252877427009955,0.000374790611846591
13.1825673855641,79.9999131418003,79.9999962790069,8.3137206615902e-05,-0.000634936092200644,-0.000255805608977554,0.00037913048322309
13.3352143216333,79.9999131418064,79.9999962790116,8.31372052090273e-05,-0.00064228830563643,-0.000258767698991279,0.000383520606645151
13.4896288259166,79.9999131418126,79.9999962790164,8.31372037595202e-05,-0.000649725653692181,-0.000261764088030356,0.000387961565661825
13.6458313658893,79.999913141819,79.9999962790213,8.31372022673804e-05,-0.000657249122185512,-0.000264795173002564,0.000392453949182949
13.8038426460289,79.9999131418256,79.9999962790263,8.31372007326081e-05,-0.000664859708332067,-0.000267861356031793,0.000396998352300274
13.9636836105594,79.9999131418323,79.9999962790314,8.31371991125707e-05,-0.000672558420916746,-0.000270963045017819,0.000401595375898926
14.1253754462276,79.9999131418391,79.9999962790367,8.31371975493767e-05,-0.000680346280394082,-0.000274100648979975,0.000406245631414107
14.2889395851111,79.9999131418462,79.9999962790421,8.31371959435501e-05,-0.000688224319026144,-0.000277274584978036,0.000410949734048109
14.4543977074593,79.9999131418533,79.9999962790476,8.31371942524584e-05,-0.00069619358104963,-0.000280485272997885,0.000415708308051746
14.6217717445672,79.9999131418607,79.9999962790532,8.31371925329449e-05,-0.000704255122776276,-0.000283733139997182,0.000420521982779094
14.7910838816821,79.9999131418682,79.9999962790589,8.31371906997447e-05,-0.000712410012759978,-0.000287018614994589,0.000425391397765389
