f_Hz,matlab_mag_dBohm,spice_mag_dBohm,mag_error_dB,matlab_phase_deg,spice_phase_deg,phase_error_deg
10,79.9999131415379,79.9999962787706,8.31372326928204e-05,-0.000717268281114563,-0.000429668399009926,0.000287599882104636
10.115794542599,79.9999131415379,79.9999962787698,8.31372319112234e-05,-0.000725573856364594,-0.000434643724998922,0.000290930131365672
10.2329299228075,79.9999131415379,79.9999962787689,8.31372310017287e-05,-0.000733975605654078,-0.000439676662003306,0.000294298943650771
10.3514216667934,79.9999131415379,79.9999962787681,8.31372302059208e-05,-0.000742474642608533,-0.000444767877023564,0.000297706765584969
10.471285480509,79.9999131415379,79.9999962787672,8.31372293106369e-05,-0.000751072093764502,-0.000449918047008953,0.00030115404675555
10.5925372517729,79.9999131415379,79.9999962787663,8.31372284153531e-05,-0.000759769098724103,-0.000455127852012952,0.000304641246711151
10.7151930523761,79.9999131415379,79.9999962787654,8.31372275058584e-05,-0.000768566810242881,-0.000460397984022483,0.000308168826220397
10.839269140212,79.9999131415379,79.9999962787644,8.31372265110986e-05,-0.000777466394480259,-0.000465729141996243,0.000311737252484016
10.9647819614319,79.9999131415379,79.9999962787635,8.31372256158147e-05,-0.000786469031037392,-0.000471122030999594,0.000315347000037798
11.091748152624,79.9999131415379,79.9999962787625,8.3137224606844e-05,-0.00079557591320347,-0.00047657736701356,0.00031899854618991
11.2201845430196,79.9999131415379,79.9999962787615,8.31372236120842e-05,-0.000804788248097816,-0.000482095872990943,0.000322692375106873
11.3501081567232,79.9999131415379,79.9999962787604,8.31372225178484e-05,-0.000814107256807824,-0.000487678280026765,0.000326428976781059
11.4815362149688,79.9999131415379,79.9999962787594,8.31372215088777e-05,-0.000823534174551928,-0.000493325328019822,0.000330208846532106
11.6144861384034,79.9999131415379,79.9999962787583,8.31372204146419e-05,-0.000833070250859251,-0.000499037766003464,0.000334032484855788
11.7489755493953,79.9999131415379,79.9999962787572,8.31372193061952e-05,-0.000842716749724269,-0.000504816351026038,0.000337900398698231
11.8850222743702,79.9999131415379,79.9999962787561,8.31372182119594e-05,-0.000852474949790656,-0.000510661849016,0.000341813100774655
12.0226443461741,79.9999131415379,79.9999962787549,8.31372170182476e-05,-0.00086234614446845,-0.000516575034985472,0.000345771109482978
12.1618600064637,79.9999131415379,79.9999962787537,8.3137215810325e-05,-0.000872331642213824,-0.000522556692012459,0.000349774950201365
12.3026877081238,79.9999131415379,79.9999962787525,8.31372146166132e-05,-0.000882432766558729,-0.000528607612996522,0.000353825153562207
12.4451461177139,79.9999131415379,79.9999962787512,8.31372133234254e-05,-0.00089265085641988,-0.000534728600989552,0.000357922255430328
12.5892541179417,79.9999131415379,79.99999627875,8.31372121297136e-05,-0.000902987266186802,-0.000540920465989769,0.000362066800197033
