case_id,component,source_script,parameter_record,Rf_ohm,Cf_F,Cpd_F,A0,ft_Hz,temperature_K,photodiode_shot_noise_enabled,photodiode_dc_current_A,input_source_noise_density,input_source_noise_density_unit,reference_frequency_Hz,output_noise_density_at_reference_frequency_V_per_sqrtHz,integrated_output_noise_V_rms,integrated_noise_variance_fraction_pct,input_referred_current_noise_density_at_reference_frequency_A_per_sqrtHz,bandwidth_Hz,peaking_dB,effective_noise_bandwidth_approx_Hz,integration_f_min_Hz,integration_f_max_Hz,model_scope
baseline_Rf100k_Cf1p_Cpd2p,feedback_resistor_thermal,tia_extension/scripts/run_07_noise_baseline.m,"Rf=100000 ohm; Cf=1e-12 F; Cpd=2e-12 F; A0=100000; ft=1e+08 Hz; temperature=300 K; en=3e-09 V/sqrtHz; in=4e-13 A/sqrtHz; photodiode_shot_enabled=1; photodiode_dc_current=1e-09 A; frequency_grid=[1, 1e+09] Hz; ENBW_approx=(pi/2)*bandwidth",100000,1e-12,2e-12,100000,100000000,300,1,1e-09,4.07035477569216e-13,A/sqrt(Hz),1000,4.07031332001625e-08,6.38509275764521e-05,33.6135683550679,4.07035477569216e-13,1642371.04627812,8.06177762038511e-13,2579830.40672796,1,1000000000,first-pass MATLAB behavioural noise estimate; not measured or experimentally validated
baseline_Rf100k_Cf1p_Cpd2p,op_amp_input_voltage,tia_extension/scripts/run_07_noise_baseline.m,"Rf=100000 ohm; Cf=1e-12 F; Cpd=2e-12 F; A0=100000; ft=1e+08 Hz; temperature=300 K; en=3e-09 V/sqrtHz; in=4e-13 A/sqrtHz; photodiode_shot_enabled=1; photodiode_dc_current=1e-09 A; frequency_grid=[1, 1e+09] Hz; ENBW_approx=(pi/2)*bandwidth",100000,1e-12,2e-12,100000,100000000,300,1,1e-09,3e-09,V/sqrt(Hz),1000,2.99997477518147e-09,6.4084374869414e-05,33.8598088297945,3.00000532958164e-14,1642371.04627812,8.06177762038511e-13,2579830.40672796,1,1000000000,first-pass MATLAB behavioural noise estimate; not measured or experimentally validated
baseline_Rf100k_Cf1p_Cpd2p,op_amp_input_current,tia_extension/scripts/run_07_noise_baseline.m,"Rf=100000 ohm; Cf=1e-12 F; Cpd=2e-12 F; A0=100000; ft=1e+08 Hz; temperature=300 K; en=3e-09 V/sqrtHz; in=4e-13 A/sqrtHz; photodiode_shot_enabled=1; photodiode_dc_current=1e-09 A; frequency_grid=[1, 1e+09] Hz; ENBW_approx=(pi/2)*bandwidth",100000,1e-12,2e-12,100000,100000000,300,1,1e-09,4e-13,A/sqrt(Hz),1000,3.99995926087214e-08,6.27472847897827e-05,32.4616112712866,4e-13,1642371.04627812,8.06177762038511e-13,2579830.40672796,1,1000000000,first-pass MATLAB behavioural noise estimate; not measured or experimentally validated
baseline_Rf100k_Cf1p_Cpd2p,photodiode_shot,tia_extension/scripts/run_07_noise_baseline.m,"Rf=100000 ohm; Cf=1e-12 F; Cpd=2e-12 F; A0=100000; ft=1e+08 Hz; temperature=300 K; en=3e-09 V/sqrtHz; in=4e-13 A/sqrtHz; photodiode_shot_enabled=1; photodiode_dc_current=1e-09 A; frequency_grid=[1, 1e+09] Hz; ENBW_approx=(pi/2)*bandwidth",100000,1e-12,2e-12,100000,100000000,300,1,1e-09,1.79007074385344e-14,A/sqrt(Hz),1000,1.79005251237321e-09,2.80805196896075e-06,0.065011543851058,1.79007074385344e-14,1642371.04627812,8.06177762038511e-13,2579830.40672796,1,1000000000,first-pass MATLAB behavioural noise estimate; not measured or experimentally validated
baseline_Rf100k_Cf1p_Cpd2p,total_quadrature,tia_extension/scripts/run_07_noise_baseline.m,"Rf=100000 ohm; Cf=1e-12 F; Cpd=2e-12 F; A0=100000; ft=1e+08 Hz; temperature=300 K; en=3e-09 V/sqrtHz; in=4e-13 A/sqrtHz; photodiode_shot_enabled=1; photodiode_dc_current=1e-09 A; frequency_grid=[1, 1e+09] Hz; ENBW_approx=(pi/2)*bandwidth",100000,1e-12,2e-12,100000,100000000,300,1,1e-09,NaN,quadrature total,1000,5.71744400744129e-08,0.000110131080804319,100,5.71750223895498e-13,1642371.04627812,8.06177762038511e-13,2579830.40672796,1,1000000000,first-pass MATLAB behavioural noise estimate; not measured or experimentally validated
