f_Hz,matlab_mag_dBohm,spice_mag_dBohm,mag_error_dB,matlab_phase_deg,spice_phase_deg,phase_error_deg
10,79.9999131408795,79.9999962781123,8.31372327922963e-05,-0.00114926828108764,-0.000861668399013278,0.000287599882074359
10.115794542599,79.9999131408642,79.9999962780961,8.31372319254342e-05,-0.00116257618057309,-0.000871646049015183,0.000290930131557911
10.2329299228075,79.9999131408485,79.9999962780796,8.31372311154155e-05,-0.00117603817828555,-0.000881739235032224,0.000294298943253322
10.3514216667934,79.9999131408324,79.9999962780627,8.31372302627642e-05,-0.00118965605857704,-0.000891949294016924,0.000297706764560121
10.471285480509,79.999913140816,79.9999962780454,8.31372294101129e-05,-0.00120343162649055,-0.000902277579995021,0.000301154046495531
10.5925372517729,79.9999131407992,79.9999962780277,8.31372285148291e-05,-0.00121736670796082,-0.000912725462004472,0.000304641245956347
10.7151930523761,79.999913140782,79.9999962780095,8.31372275342801e-05,-0.00123146315007782,-0.000923294323993676,0.000308168826084142
10.839269140212,79.9999131407644,79.999996277991,8.31372266389963e-05,-0.00124572282130434,-0.000933985568994356,0.000311737252309985
10.9647819614319,79.9999131407463,79.999996277972,8.31372256584473e-05,-0.00126014761172699,-0.000944800611997125,0.000315346999729866
11.091748152624,79.9999131407279,79.9999962779526,8.313722470632e-05,-0.00127473943335722,-0.000955740887025033,0.000318998546332185
11.2201845430196,79.999913140709,79.9999962779327,8.31372236689276e-05,-0.00128950022031983,-0.000966807844996237,0.000322692375323591
11.3501081567232,79.9999131406897,79.9999962779124,8.31372226741678e-05,-0.00130443192913741,-0.00097800295298611,0.000326428976151302
11.4815362149688,79.99991314067,79.9999962778915,8.31372215230886e-05,-0.00131953653899397,-0.000989327693005914,0.000330208845988054
11.6144861384034,79.9999131406498,79.9999962778702,8.31372204430636e-05,-0.0013348160519902,-0.00100078356800768,0.000334032483982525
11.7489755493953,79.9999131406291,79.9999962778485,8.31372194198821e-05,-0.0013502724934114,-0.00101237209501421,0.000337900398397194
11.8850222743702,79.9999131406079,79.9999962778262,8.31372182972245e-05,-0.00136590791199114,-0.00102409481201453,0.000341813099976612
12.0226443461741,79.9999131405862,79.9999962778033,8.3137217075091e-05,-0.00138172438017505,-0.00103595327101754,0.000345771109157505
12.1618600064637,79.9999131405641,79.99999627778,8.31372159240118e-05,-0.00139772399443881,-0.0010479490439806,0.000349774950458211
12.3026877081238,79.9999131405414,79.9999962777561,8.31372147018783e-05,-0.00141390887549363,-0.00106008372199525,0.000353825153498379
12.4451461177139,79.9999131405182,79.9999962777316,8.31372134229014e-05,-0.00143028116864604,-0.00107235891302274,0.0003579222556233
12.5892541179417,79.9999131404944,79.9999962777066,8.3137212186557e-05,-0.00144684304402007,-0.00108477624400583,0.000362066800014247
12.7350308101666,79.9999131404701,79.999996277681,8.31372108933692e-05,-0.00146359669687133,-0.00109733736097062,0.000366259335900705
12.8824955169314,79.9999131404452,79.9999962776548,8.31372095575489e-05,-0.00148054434787596,-0.00111004392902656,0.000370500418849405
13.031667784523,79.9999131404198,79.999996277628,8.31372082075177e-05,-0.00149768824342813,-0.00112289763201016,0.000374790611417963
13.1825673855641,79.9999131403937,79.9999962776005,8.31372067580105e-05,-0.00151503065594161,-0.00113590017304487,0.000379130482896743
13.3352143216333,79.9999131403671,79.9999962775725,8.31372054221902e-05,-0.00153257388412651,-0.00114905327800141,0.000383520606125092
13.4896288259166,79.9999131403398,79.9999962775437,8.3137203873207e-05,-0.00155032025330764,-0.00116235868699944,0.000387961566308203
