case_id,op_amp_model,Rf_ohm,Cpd_F,Cf_F,supply_positive_V,supply_negative_V,low_frequency_transimpedance_dBOhm,peak_transimpedance_dBOhm,peaking_dB,minus3dB_bandwidth_Hz,visual_region_label,data_source,notes
OPA818_Rf10k_Cpd10p_Cf0p5,OPA818,10000,1e-11,5e-13,5,-5,80.0001016119147,80.0001016119148,7.105427357601e-14,24831331.0529578,Safe,real LTspice AC text export from TI OPA818 PSpice macromodel SBOMB74B.ZIP,low-frequency reference is the mean of the first five AC points; no SPICE smoothing or synthetic data
OPA818_Rf10k_Cpd10p_Cf1p0,OPA818,10000,1e-11,1e-12,5,-5,80.0001016119134,80.0001016119135,1.13686837721616e-13,14791083.8816833,Safe,real LTspice AC text export from TI OPA818 PSpice macromodel SBOMB74B.ZIP,low-frequency reference is the mean of the first five AC points; no SPICE smoothing or synthetic data
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,5,-5,80.0001016119111,80.0001016119113,1.98951966012828e-13,10351421.6667943,Safe,real LTspice AC text export from TI OPA818 PSpice macromodel SBOMB74B.ZIP,low-frequency reference is the mean of the first five AC points; no SPICE smoothing or synthetic data
OPA818_Rf10k_Cpd10p_Cf2p2,OPA818,10000,1e-11,2.2e-12,5,-5,80.0001016119065,80.0001016119069,3.97903932025656e-13,7161434.10212958,Safe,real LTspice AC text export from TI OPA818 PSpice macromodel SBOMB74B.ZIP,low-frequency reference is the mean of the first five AC points; no SPICE smoothing or synthetic data
