case_id,op_amp_model,Rf_ohm,Cpd_F,Cf_F,frequency_Hz,transimpedance_dBOhm,phase_deg,Vnin_mag_dB,Vnin_phase_deg,source_raw_export_filename,source_raw_relative_path
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,12.0226443461741,79.9945177505041,179.999978914032,15.9827941572976,-0.00140137675831927,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,12.1618600064637,79.9945177505051,179.999978669868,15.9827941557549,-0.00141760393556832,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,12.3026877081238,79.9945177505061,179.999978422877,15.9827941541759,-0.00143401901453214,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,12.4451461177139,79.9945177505071,179.999978173025,15.9827941525934,-0.00145062417120861,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,12.5892541179417,79.9945177505081,179.999977920281,15.9827941509144,-0.00146742160649179,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,12.7350308101666,79.9945177505092,179.99997766461,15.9827941492445,-0.00148441354685031,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,12.8824955169314,79.9945177505103,179.999977405978,15.982794147521,-0.00150160224453135,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,13.031667784523,79.9945177505114,179.999977144352,15.9827941457514,-0.00151898997796419,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,13.1825673855641,79.9945177505125,179.999976879696,15.9827941439407,-0.00153657905187768,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,13.3352143216333,79.9945177505137,179.999976611975,15.9827941420865,-0.00155437179757494,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,13.4896288259166,79.9945177505149,179.999976341155,15.9827941401889,-0.00157237057345348,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,13.6458313658893,79.9945177505161,179.999976067198,15.9827941382453,-0.00159057776544616,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,13.8038426460289,79.9945177505173,179.999975790069,15.9827941362734,-0.00160899578661083,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,13.9636836105594,79.9945177505186,179.999975509732,15.9827941342381,-0.00162762707838381,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,14.1253754462276,79.9945177505199,179.999975226148,15.9827941321519,-0.00164647411027651,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,14.2889395851111,79.9945177505212,179.99997493928,15.98279413003,-0.00166553938054264,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,14.4543977074593,79.9945177505226,179.99997464909,15.9827941278749,-0.00168482541619276,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,14.6217717445672,79.994517750524,179.999974355541,15.9827941256265,-0.00170433477355177,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,14.7910838816821,79.9945177505254,179.999974058592,15.9827941233475,-0.00172407003844069,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,14.9623565609444,79.9945177505269,179.999973758205,15.9827941210154,-0.00174403382698407,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,15.1356124843621,79.9945177505284,179.999973454339,15.9827941186277,-0.00176422878521477,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,15.3108746168203,79.9945177505299,179.999973146955,15.982794116187,-0.00178465758995305,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,15.4881661891249,79.9945177505315,179.999972836011,15.9827941136958,-0.00180532294914478,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,15.6675107010815,79.9945177505331,179.999972521467,15.9827941111442,-0.00182622760182735,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,15.8489319246112,79.9945177505348,179.99997220328,15.9827941085272,-0.00184737431879244,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,16.0324539069005,79.9945177505364,179.99997188141,15.9827941058498,-0.00186876590324372,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,16.2181009735893,79.9945177505382,179.999971555812,15.9827941031147,-0.00189040519053358,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,16.4058977319954,79.9945177505399,179.999971226443,15.9827941003244,-0.00191229504881361,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
ADA4817_Rf10k_Cpd10p_Cf0p5,ADA4817,10000,1e-11,5e-13,16.5958690743757,79.9945177505417,179.999970893261,15.9827940974388,-0.00193443837959482,ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt,tia_extension/spice_interface/round9_manual_exports/ADA4817/ADA4817_Cf0p5/ADA4817_Rf10k_Cpd10p_Cf0p5_raw.txt
