case_id,op_amp_model,Rf_ohm,Cpd_F,Cf_F,frequency_Hz,transimpedance_dBOhm,phase_deg,Vnin_mag_dB,Vnin_phase_deg,source_raw_export_filename,source_raw_export_relative_path
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,10,80.0001016119113,179.999946219553,-18.6373423078775,-179.981731601906,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,10.115794542599,80.0001016119112,179.999945596805,-18.6373422970532,-179.981520063843,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,10.2329299228075,80.0001016119111,179.999944966845,-18.6373422865296,-179.981306076283,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,10.3514216667934,80.000101611911,179.999944329592,-18.6373422750856,-179.981089610866,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,10.471285480509,80.0001016119109,179.999943684959,-18.6373422636608,-179.980870638898,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,10.5925372517729,80.0001016119108,179.999943032861,-18.6373422525196,-179.980649131353,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,10.7151930523761,80.0001016119107,179.999942373213,-18.6373422403054,-179.980425058874,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,10.839269140212,80.0001016119106,179.999941705926,-18.6373422284977,-179.980198391757,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,10.9647819614319,80.0001016119105,179.999941030912,-18.6373422157397,-179.979969099961,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,11.091748152624,80.0001016119104,179.999940348083,-18.6373422032405,-179.97973715309,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
OPA818_Rf10k_Cpd10p_Cf1p5,OPA818,10000,1e-11,1.5e-12,11.2201845430196,80.0001016119103,179.999939657346,-18.6373421900481,-179.979502520403,OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt,tia_extension/spice_interface/round8_manual_exports/OPA818_Cf1.5p/OPA818_Rf10k_Cpd10p_Cf1p5_raw.txt
