seed,valid,K_eff,fc_eff_Hz,gain_error_pct,cutoff_error_pct,phase_deviation_fc_deg
1,1,10.0026211797412,9473.22001498639,0.026211797412472,-5.26779985013607,1.46299920291281
2,1,9.99747355489491,9515.77954166943,-0.0252644510509015,-4.84220458330574,1.37343741213292
3,1,9.99833111249226,9533.90008601274,-0.0166888750773708,-4.66099913987258,1.51127737083794
4,1,10.002066102223,9516.15360544572,0.0206610222295289,-4.83846394554277,1.59583343290441
5,1,9.99773109232191,9520.16580704985,-0.0226890767808996,-4.79834192950149,1.727697143246
6,1,10.0017680272578,9590.64461344064,0.017680272577536,-4.0935538655936,1.40173607013858
7,1,9.99675335111303,9487.75622304178,-0.0324664888697157,-5.12243776958225,1.71824862191824
8,1,9.99541233765656,9661.40387982495,-0.0458766234343599,-3.38596120175052,1.35129885406719
9,1,10.0000775392106,9676.6388734134,0.000775392105687445,-3.23361126586598,1.40014572889186
10,1,9.99955722420093,9572.90421069724,-0.00442775799072592,-4.27095789302755,1.49030422713852
11,1,9.99889328582264,9556.8940188592,-0.011067141773573,-4.43105981140803,1.49709194112136
12,1,9.99706392044419,9573.1934279408,-0.0293607955581265,-4.26806572059204,1.22117838299727
13,1,9.99503417135897,9604.05046704408,-0.0496582864103345,-3.95949532955921,1.76249327475473
14,1,9.99597357498951,9482.93623514087,-0.0402642501049044,-5.17063764859127,1.30329517384364
15,1,9.99663694657045,9504.54593627122,-0.0336305342954724,-4.95454063728783,1.5878054145101
16,1,9.99604179221216,9555.53392746466,-0.0395820778783929,-4.44466072535335,1.82404506770225
17,1,10.0016985523215,9542.80399078958,0.0169855232146077,-4.5719600921042,1.5689916318807
18,1,10.0005020899077,9548.48519021477,0.00502089907676861,-4.51514809785233,1.67914088086492
19,1,9.99565596785069,9646.81723059466,-0.0434403214930512,-3.53182769405335,1.1778193825358
20,1,10.0033131314729,9509.45976342448,0.0331313147287915,-4.90540236575516,1.62896282238361
