K,M,region_code,region_label,gain_abs_pct,cutoff_abs_pct,phase_abs_deg
1,0.3,3,Risky,0.00969135038240143,74.6952667557879,53.745890004322
1,0.318130185280863,3,Risky,0.00898410070695466,73.4568876179473,52.8555344190306
1,0.337356049289453,3,Risky,0.00835006966850571,72.1762358297478,51.933735893426
1,0.357743808220246,3,Risky,0.00778144175250794,70.8539948955901,50.9809716038093
1,0.37936367997396,3,Risky,0.0072712498836669,69.4910682588283,49.9979297247002
1,0.402290125996486,3,Risky,0.00681328251395108,68.0885743439377,48.9855213859711
1,0.426602107733079,3,Risky,0.00640200092556498,66.6478360044223,47.944890066591
1,0.452383358581104,3,Risky,0.00603246562491666,65.1707138003508,46.8774178311683
1,0.479722672277952,3,Risky,0.00570027082722468,63.6590121747621,45.7847278420064
1,0.5,3,Risky,0.00548620993718885,62.5729002146925,44.9996180283423
1,0.508714208717384,3,Risky,0.00540148614063263,62.1150829826383,44.6686826392425
1,0.539457818247563,3,Risky,0.00513260465770937,60.5414795869873,43.5313777771835
1,0.572059385567691,3,Risky,0.00489049674856634,58.9409171860472,42.3751305360549
1,0.606631194407686,3,Risky,0.00467236892784939,57.3165233191554,41.2024635918778
1,0.643292314246894,3,Risky,0.00447572723689671,55.6714995500385,40.0160837166301
1,0.682169010403731,3,Risky,0.00429834464424905,54.0094890953259,38.818855786577
1,0.723395178908673,3,Risky,0.00413823202136676,52.3341914517532,37.6137725863224
1,0.76711280765833,3,Risky,0.00399361230078998,50.6492935843564,36.4039210956174
1,0.813472465438891,3,Risky,0.00386289746602264,48.9589692405011,35.1924461206854
1,0.862633820503182,3,Risky,0.00374466806150053,47.2671415964899,33.9825122682073
1,0.914766190487385,3,Risky,0.0036376549454431,45.577989353257,32.7772653471047
1,0.970049125561403,3,Risky,0.00354072303887509,43.8954974566702,31.5797943136194
1,1,3,Risky,0.00349411657225573,43.0278063001307,30.9632867910379
1,1.02867302682129,3,Risky,0.00345285685134922,42.2241541493085,30.3930948463584
1,1.09083980205361,3,Risky,0.00337314758775964,40.5675880923642,29.2200355523747
1,1.15676356113018,3,Risky,0.00330078166278502,38.9298262397052,28.0633276701329
1,1.22667135342832,3,Risky,0.00323503046808504,37.3145198501448,26.9254989613184
1,1.30080394981626,3,Risky,0.00317524125484914,35.7255394138577,25.8088722844247
1,1.37941667189708,3,Risky,0.00312082900898458,34.165869927725,24.7155491334669
1,1.4627802713671,3,Risky,0.00307126921035294,32.6388057232467,23.6473982191761
1,1.55118186251735,3,Risky,0.00302609137866616,31.1471421296116,22.6060489800254
1,1.64492591108987,3,Risky,0.00298487332031083,29.693144595693,21.5928897461697
1,1.74433528289437,3,Risky,0.00294723599880697,28.2795871927935,20.6090701473864
1,1.84975235579711,3,Risky,0.00291283896096672,26.9078813323528,19.6555072596144
1,1.96154019891149,3,Risky,0.00288137625767959,25.5797110716556,18.7328949239315
1,2,3,Risky,0.00287156321083781,25.1500309988664,18.434497216743
1,2.0800838230519,3,Risky,0.00285257280552287,24.2962369876735,17.8417156444606
1,2.20579150675742,3,Risky,0.00282618114061384,23.058795687958,16.982254473612
1,2.33909620245231,3,Risky,0.00280197852241537,21.8674439771078,16.1546143189585
1,2.48045702758638,3,Risky,0.00277976434854832,20.7229922334058,15.3587321501197
1,2.63036084589092,3,Risky,0.00275935784779247,19.6253076177985,14.5943956405977
1,2.78932394419601,3,Risky,0.0027405960195237,18.5742654977475,13.8612598433095
1,2.95789381058475,3,Risky,0.00272333179430762,17.5695343152862,13.1588635651058
1,3.13665102000814,3,Risky,0.00270743239045856,16.6100653564362,12.4866451712233
1,3.32621123385532,3,Risky,0.00269277784579192,15.6956849263146,11.843957612654
1,3.5272273203656,3,Risky,0.00267925970540706,14.8249010976052,11.2300825259633
1,3.74039160318543,3,Risky,0.00266677984885888,13.9967763014716,10.6442433050002
1,3.96643824581455,3,Risky,0.00265524944110807,13.2101603494062,10.0856170867213
1,4.20614578015361,3,Risky,0.00264458799452694,12.4637236642402,9.55334562894524
1,4.46033978786196,3,Risky,0.00263472252932662,11.7559897607069,9.04654508659721
1,4.72989574376043,3,Risky,0.00262558682231351,11.0853756896507,8.56431471543846
1,5,3,Risky,0.00261755821853171,10.4841730437467,8.12972589996032
1,5.01574203107223,3,Risky,0.00261712073428289,10.4510644089539,8.10574454910073
1,5.31886313888673,2,Marginal,0.00260926960737873,9.85065020307398,7.66992210721597
1,5.64030305285862,2,Marginal,0.00260198372541431,9.28354444952922,7.2559382003088
1,5.98116885082043,2,Marginal,0.00259521782985939,8.74761077327094,6.86289190163122
1,6.34263451569209,2,Marginal,0.002588930685965,8.24148416392079,6.48989475793728
1,6.72594497881973,2,Marginal,0.00258308469356372,7.76380406547403,6.13607431091283
1,7.13242040766936,2,Marginal,0.00257764553759365,7.31323425518996,5.80057699910902
1,7.56346075264287,2,Marginal,0.00257258187446041,6.88834537271217,5.48257050721426
1,8.02055056867603,2,Marginal,0.00256786505019591,6.48783885858169,5.18124562569713
1,8.50526412822478,2,Marginal,0.00256346884710545,6.11041255813978,4.89581767955599
1,9.01927084324942,2,Marginal,0.00255936925604994,5.75476668446534,4.62552758034954
1,9.56434101487073,2,Marginal,0.0025555442713765,5.41965240129075,4.36964255103611
1,10,2,Marginal,0.00255281156755771,5.17810732041564,4.18458039436546
1,10.1423519305006,2,Marginal,0.0025519737065216,5.10386160051723,4.12745656855127
1,10.7552943294462,1,Safe,0.00254863902766633,4.80662086111972,3.89829056460356
1,11.4052792592565,1,Safe,0.00254552320402279,4.52676555788257,3.68149242093127
1,12.0945453464241,1,Safe,0.00254261057257565,4.26295866143704,3.47643679128849
1,12.8254665064857,1,Safe,0.00253988671632399,4.014976796628,3.28252477873669
1,13.6005601200726,1,Safe,0.00253733835395842,3.78119115034271,3.09918349342539
1,14.4224957030741,1,Safe,0.00253495324054054,3.5613368869978,2.92586551294936
1,15.2941041007713,1,Safe,0.00253272007731953,3.35409568263196,2.76204826456586
1,16.2183872376106,1,Safe,0.0025306284304305,3.15930938937567,2.60723334603033
1,17.1985284561928,1,Safe,0.0025286686571091,2.97557679370722,2.46094579954769
1,18.2379034810894,1,Safe,0.00252683183881164,2.80296975213034,2.32273335132101
1,19.3400920452449,1,Safe,0.00252510972065245,2.64030308510599,2.19216562738979
1,20,1,Safe,0.00252417359282164,2.55149242465692,2.12078422886222
1,20.5088902190089,1,Safe,0.00252349465634794,2.48697964227507,2.06883335486957
1,21.7483234842606,1,Safe,0.0025219795582121,2.34300949594026,1.95234755631147
1,23.0626605986532,1,Safe,0.00252055785175953,2.20726588976915,1.84233874367796
1,24.4564282977307,1,Safe,0.00251922343434963,2.07928426705748,1.73845611736209
1,25.9344268855507,1,Safe,0.00251797063752779,1.95905379284535,1.640366774745
1,27.5017467675107,1,Safe,0.00251679419269735,1.84582697806147,1.54775493197589
1,29.1637859823185,1,Safe,0.00251568919986678,1.73908547622543,1.46032116195674
1,30.926268793488,1,Safe,0.00251465109907256,1.6384595375752,1.37778165090759
