K,M_marginal,M_safe,ft_marginal_Hz,ft_safe_Hz,ft_marginal_MHz,ft_safe_MHz
1,5.31886313888673,10.7552943294462,106377.262777735,215105.886588924,0.106377262777735,0.215105886588924
2,6.72594497881973,13.6005601200726,201778.349364592,408016.803602178,0.201778349364592,0.408016803602178
5,8.02055056867603,16.2183872376106,481233.034120562,973103.234256636,0.481233034120562,0.973103234256636
10,8.50526412822478,18.2379034810894,935579.054104726,2006169.38291983,0.935579054104726,2.00616938291983
20,9.01927084324942,18.2379034810894,1894046.87708238,3829959.73102877,1.89404687708238,3.82995973102877
