frequency_Hz,clean_mag_dB,noisy_mag_dB,clean_phase_deg,noisy_phase_deg,actual_mag_noise_dB,actual_phase_noise_deg
10,19.9990398570305,19.979285313349,-0.0601545026197668,0.170604740523186,-0.0197545436815609,0.230759243142953
10.0461733293603,19.9990398130863,20.0060678023742,-0.0604322557829823,-0.59743589927412,0.00702798928786663,-0.537003643491137
10.092559856355,19.9990397687354,19.9231783018698,-0.0607112914222017,-0.323038977661544,-0.0758614668655291,-0.262327686239342
10.1391605653885,19.9990397239739,19.9049404570807,-0.0609916154590045,0.593749837123917,-0.0940992668932168,0.654741452582921
10.1859764454108,19.9990396787981,20.0388653352292,-0.0612732338423112,0.01947777188619,0.0398256564310913,0.0807510057285012
10.2330084899378,19.9990396332042,20.011103178571,-0.0615561525485103,0.420690314585757,0.0120635453667504,0.482246467134268
10.280257697073,19.9990395871883,20.0133808758813,-0.0618403775815845,-0.0357786857751648,0.0143412886930463,0.0260616918064197
10.3277250695285,19.9990395407464,20.0124701256361,-0.0621259149732383,-0.58077209329249,0.0134305848897078,-0.518646178319251
10.3754116146463,19.9990394938747,19.8906286013667,-0.0624127707830263,0.15078204579586,-0.108410892507973,0.213194816578886
10.4233183444194,19.9990394465691,19.9912312565979,-0.062700951098481,-0.548780742472438,-0.00780818997128918,-0.486079791373957
10.4714462755138,19.9990393988257,20.0889084594202,-0.0629904620352429,-1.97436519521639,0.0898690605945163,-1.91137473318114
10.5197964292896,19.9990393506404,19.9257062643595,-0.0632813097371896,-0.913498597600225,-0.0733330862808401,-0.850217287863036
10.5683698318228,19.9990393020091,20.0175844561208,-0.0635735003765665,-0.0670761387773843,0.01854515411177,-0.0035026384008178
10.6171675139274,19.9990392529276,20.0380903480074,-0.0638670401541179,-0.604338959236564,0.0390510950797704,-0.540471919082446
10.6661905111768,19.9990392033918,19.9310428964818,-0.0641619352992178,0.402608880151652,-0.0679963069100467,0.46677081545087
10.715439863926,19.9990391533976,20.0164173886737,-0.0644581920700033,0.402098337975652,0.0173782352761762,0.466556530045655
10.7649166173337,19.9990391029405,20.0032532515596,-0.0647558167535064,0.52116340730625,0.00421414861908076,0.585919224059756
10.8146218213845,19.9990390520165,20.0106443529846,-0.0650548156657879,-0.0914031303735919,0.0116053009680925,-0.026348314707804
10.8645565309111,19.9990390006211,19.9968526417759,-0.0653551951520711,0.727821701659524,-0.00218635884516516,0.793176896811595
10.9147218056166,19.99903894875,19.9943679447905,-0.0656569615868769,0.827103947435082,-0.00467100395947639,0.892760909021958
10.9651187100972,19.9990388963988,20.0087763815706,-0.0659601213741586,0.18587200790877,0.00973748517179729,0.251832129282929
11.0157483138648,19.999038843563,19.9931412173098,-0.066264680947438,0.105592691907324,-0.00589762625317647,0.171857372854762
11.0666116913694,19.9990387902382,20.03480586072,-0.0665706467699422,0.812534440102811,0.0357670704818496,0.879105086872753
11.1177099220222,19.9990387364198,19.9878356895432,-0.0668780253347401,-0.143579260165787,-0.011203046876588,-0.0767012348310468
11.1690440902183,19.9990386821032,19.9569100541799,-0.0671868231648806,0.269877525713427,-0.0421286279232689,0.337064348878307
11.22061528536,19.9990386272839,19.9345939837702,-0.0674970468135312,-0.64346742481975,-0.0644446435136636,-0.575970378006219
11.2724246018796,19.9990385719572,19.9292385867871,-0.0678087028641166,-0.362024941694036,-0.0697999851701248,-0.294216238829919
11.3244731392627,19.9990385161184,20.0438257090612,-0.0681217979304586,-0.964940481512536,0.044787192942767,-0.896818683582078
11.3767620020718,19.9990384597627,19.9792337930801,-0.0684363386569165,0.299963856398376,-0.019804666682667,0.368400195055293
11.4292922999693,19.9990384028855,19.951970149924,-0.0687523317185282,-0.990902970339102,-0.0470682529615054,-0.922150638620573
11.4820651477415,19.9990383454817,20.0701186781516,-0.0690697838211515,-0.134577009528579,0.0710803326698333,-0.0655072257074272
