A0_linear,A0_dB,K1_DC_gain_error_pct,K10_DC_gain_error_pct,K20_DC_gain_error_pct
1000,60,-0.199600798403199,-1.08803165182987,-2.05680705190989
10000,80,-0.0199960007998379,-0.109879132953754,-0.209559924159262
100000,100,-0.00199996000079805,-0.0109987901330832,-0.020995590925903
