M,ft_Hz,fp_Hz,K_eff,fc_eff_Hz,gain_error_pct,cutoff_error_pct,phase_deviation_fc_deg,phi_response_fc_deg,M_check
0.5,55000,0.5500000000275,9.99847012143092,3402.685345124,-0.0152987856907849,-65.97314654876,29.7429469615591,-74.7429469615591,0.5
1,110000,1.100000000055,9.99871000852568,5116.95476178376,-0.0128999147432118,-48.8304523821624,20.5535125159103,-65.5535125159103,1
2,220000,2.20000000011,9.99879261515276,6804.92225929771,-0.0120738484723582,-31.9507774070229,12.5259689792493,-57.5259689792493,2
5,550000,5.500000000275,9.9988302301359,8440.84741016661,-0.0116976986409867,-15.5915258983339,5.70767098377563,-50.7076709837756,5
10,1100000,11.00000000055,9.99884077689197,9160.73865361704,-0.0115922310802574,-8.39261346382964,2.98372790866635,-47.9837279086663,10
20,2200000,22.0000000011,9.9988456768447,9564.29102148238,-0.0115432315530128,-4.35708978517619,1.52463418024003,-46.52463418024,20
50,5500000,55.00000000275,9.99884849731959,9822.14672620653,-0.011515026804112,-1.77853273793466,0.616513306235241,-45.6165133062352,50
