K,M_marginal,M_safe,ft_required_marginal_Hz,ft_required_safe_Hz
1,5.31886313888673,10.7552943294462,106377.262777735,215105.886588924
2,6.72594497881973,13.6005601200726,201778.349364592,408016.803602178
5,8.02055056867603,16.2183872376106,481233.034120562,973103.234256636
10,8.50526412822478,18.2379034810894,935579.054104726,2006169.38291983
20,9.01927084324942,18.2379034810894,1894046.87708238,3829959.73102877
